model,fold,bin,mean_predicted,observed_rate,n
xgboost,validation_2023_2024,5,0.5598049163818359,0.3333333333333333,3
xgboost,validation_2023_2024,6,0.6432956457138062,0.75,4
xgboost,validation_2023_2024,7,0.7358369827270508,0.5,4
xgboost,validation_2023_2024,8,0.8690913319587708,0.8,10
xgboost,validation_2023_2024,9,0.9485522508621216,1.0,29
xgboost,validation_2023_2024,5,0.5823556780815125,1.0,2
xgboost,validation_2023_2024,6,0.641132652759552,0.3333333333333333,6
xgboost,validation_2023_2024,7,0.7342098951339722,1.0,2
xgboost,validation_2023_2024,8,0.8614786267280579,0.8333333333333334,12
xgboost,validation_2023_2024,9,0.9418423771858215,0.9642857142857143,28
xgboost,validation_2023_2024,5,0.5725457668304443,0.5,2
xgboost,validation_2023_2024,6,0.6635869741439819,0.5714285714285714,7
xgboost,validation_2023_2024,7,0.789246678352356,1.0,1
xgboost,validation_2023_2024,8,0.878155529499054,1.0,14
xgboost,validation_2023_2024,9,0.9462489485740662,0.9230769230769231,26
xgboost,validation_2023_2024,5,0.5813238620758057,1.0,2
xgboost,validation_2023_2024,6,0.6406664252281189,0.5,6
xgboost,validation_2023_2024,7,0.7506908774375916,0.0,2
xgboost,validation_2023_2024,8,0.8696073293685913,0.9230769230769231,13
xgboost,validation_2023_2024,9,0.9417837858200073,0.8888888888888888,27
xgboost,validation_2023_2024,5,0.5923088192939758,0.6666666666666666,3
xgboost,validation_2023_2024,6,0.6576123237609863,0.8571428571428571,7
xgboost,validation_2023_2024,8,0.869065523147583,0.9166666666666666,12
xgboost,validation_2023_2024,9,0.9357263445854187,0.8928571428571429,28
xgboost,validation_2023_2024,6,0.6471641063690186,0.75,8
xgboost,validation_2023_2024,7,0.7329297065734863,0.6666666666666666,3
xgboost,validation_2023_2024,8,0.8730042576789856,0.9,10
xgboost,validation_2023_2024,9,0.9320310354232788,0.896551724137931,29
xgboost,validation_2023_2024,5,0.5576019883155823,0.5,2
xgboost,validation_2023_2024,6,0.6336071491241455,0.6666666666666666,6
xgboost,validation_2023_2024,7,0.7191445231437683,0.5,2
xgboost,validation_2023_2024,8,0.8680543303489685,0.875,16
